deck	id	name	hp	accent	tags	archetype	atk_name	atk_text	atk_cost	atk_dmg	atk_label	atk_extra_json	blk_name	blk_text	blk_cost	blk_block	blk_label	blk_extra_json
romeojuliet	apothecary	The Apothecary	70	#5A6B4A	Verona, Outcast	Shadow	Forty Ducats	His poverty consents, not his will. Inflict 🔥 Burn.	2	30	30/2	{"inflict":"burn"}	Mantua Backroom	Come, come, there's more here.	1	30	30/1	
romeojuliet	benvolio	Benvolio	90	#4A7A8C	Montague, Peacemaker	Hero	Part, Fools!	Make way, make way! Grant ✨ Highlight.	1	20	20/1	{"grant":"highlight"}	I Do But Keep the Peace	Negate one incoming status effect.	2	30	30/2	{"blockType":"negateStatus"}
odyssey	odysseus	Odysseus	105	#1F5E7A	Ithaca, King	Hero	The Man of Twists and Turns	Nothing will stop me from getting home. Grant ✨ Highlight.	3	60	60/3	{"grant":"highlight"}	Nobody	No name to aim at. Negate one incoming status effect.	2	30	30/2	{"blockType":"negateStatus"}
odyssey	telemachus	Telemachus	80	#3D8CA8	Ithaca, Heir	Innocent	His Father's Bow	+10 each turn it stays in play.	2	20	20+/2	{"dmgType":"perTurn","base":20,"step":10}	Coming of Age	Clear 🫆 Smudge.	1	30	30/1	{"blockType":"cleanse","blkCleanse":"smudge"}
odyssey	penelope	Penelope	125	#7A5F9E	Ithaca, Queen	Sentinel	The Shroud Unwoven	Never underestimate a womans patience or might. The target’s next attack deals 20 less.	1	20	20/1	{"weaken":20}	Three Years of Weaving	Undone each night, begun again each morning. Negate the attack entirely, but every use costs 1 more ABC than the last, up to 4.	3		X/3+	{"blockType":"negate","escalate":{"step":1,"cap":4}}
odyssey	antinous	Antinous	75	#8C3A2E	Suitor, Glutton	Shadow	Eating Another Man's House	I take and then I take again. Inflict 🩸 Siphon — 10 HP a turn for 2 turns, half returned.	2	30	30/2	{"siphon":{"amt":10,"turns":2,"leech":5,"mode":"hp"}}	The Loudest in the Hall	Here me now, all yee who stand before me!	1	30	30/1	
odyssey	helen	Helen of Troy	110	#D8B24C	Sparta, Troy	Monument	The Face That Launched Them	Show me a beautiful woman and i'll show you a man ready to go to war for her. +10 each turn it stays in play.	3	30	30+/3	{"dmgType":"perTurn","base":30,"step":10}	Drug of Forgetting	Clear 🔥 Burn and 🫟 Spill.	2	30	30/2	{"blockType":"cleanse","blkCleanse":["burn","spill"]}
odyssey	clytemnestra	Clytemnestra	100	#6B1F33	Mycenae, Queen	Inquisitor	The Net and the Bath	No armour, no warning, no escape. Gains 🗡️ Pierce.	3	50	50/3	{"flags":["pierce"]}	A Welcome Ten Years Cold	She has had a decade to prepare it. 🪃 Riposte — while charged, attackers take 20.	2	30	30/2	{"riposte":{"dmg":20,"mode":"hp"}}
odyssey	circe	Circe	90	#7A9E4C	Aiaia, Witch	Corrupter	Swine at the Trough	Filthy beings. Inflict 🩹 Glue.	3	50	50/3	{"inflict":"glue"}	A Year of Feasting	Heal 20 HP.	2	40	40/2	{"heal":20}
odyssey	eumaeus	Eumaeus	130	#7A6244	Ithaca, Swineherd	Mentor	The Loyal Table	Trust is short supply these days. Grant your next Backstage character ✨ Highlight.	2	30	30/2	{"grantBench":"highlight"}	Shelter for a Stranger	Clear one negative status from every ally.	3	50	50/3	{"teamCleanse":true}
odyssey	athena	Athena	125	#B8C4CE	Olympus, Grey-Eyed	Mentor	Counsel in Disguise	Guidance is just that, what you do with it is your own choice. Grant an ally 📝 Margin Notes.	2	30	30/2	{"grantAlly":"marginNotes"}	The Aegis Lowered	Grant your next Backstage character 🛡️ Laminate.	3	50	50/3	{"grantBench":"laminate"}
odyssey	calypso	Calypso	105	#3E7A6E	Ogygia, Nymph	Gatekeeper	Seven Years Offered	What is time to an immortal? Inflict 🩹 Glue.	2	30	30/2	{"inflict":"glue"}	The Island That Does Not Let Go	Blocks 60 instead while Odysseus waits Backstage.	2	50	50/2	{"cond":[{"test":"benchContains","id":"odysseus","then":{"blockSet":60}}]}
odyssey	menelaus	Menelaus	115	#C46A2E	Sparta, King	Warden	The Old Soldier Speaks	Listen, you might learn something. Grant your next Backstage character 📕 Hardcover.	2	30	30/2	{"grantBench":"hardcover"}	Hospitality of Sparta	Clear 🪢 Tear from an ally.	2	30	30/2	{"cleanseAlly":"tear"}
odyssey	eurylochus	Eurylochus	70	#8C7A3C	Crew, Second	Martyr	The Cattle of the Sun	He talks the crew into it, and the crew does not come back. Costs 20 of your own HP.	3	70	70/3	{"sacrifice":20}	Mutiny Below Deck	Discard a charged Block ABC to resolve.	2	50	50/2	{"selfDiscardBlk":1}
odyssey	polyphemus	Polyphemus	120	#6B5B3E	Cyclops, Monster	Force of Nature	Two at a Time	One eye, tenfold might. Inflict ✂️ Rip.	4	70	70/4	{"inflict":"rip"}	The Boulder at the Mouth	Caps incoming damage at 10.	3		10/3	{"blockType":"capto","cap":10}
odyssey	sinon	Sinon	85	#5A5A6E	Greek, Liar	Zealot	The Horse Is an Offering	He lets them torture him to sell it. Inflict 🫆 Smudge.	2	30	30/2	{"inflict":"smudge"}	Bound and Believed	Inflict 🩹 Glue on the attacker.	1	30	30/1	{"inflictAtt":"glue"}
odyssey	agamemnon	Agamemnon	95	#7A2E3E	Mycenae, Shade	Fallen	Warning From the Dark	Trust no woman, he says, and is wrong. Inflict 🫆 Smudge.	3	50	50/3	{"inflict":"smudge"}	The Bath Remembered	Inflict 🪢 Tear on the attacker.	2	30	30/2	{"inflictAtt":"tear"}
odyssey	scylla	Charybdis and Scylla	110	#2E5A6E	Strait, Monster	Force of Nature	Six Men or All of Them	There is no course between them that costs nothing. Inflict 🪢 Tear and 🫟 Spill.	4	70	70/4	{"inflict":["tear","spill"]}	The Narrow Water	🪃 Riposte — while charged, attackers lose a charged ABC.	3	50	50/3	{"riposte":{"mode":"charge"}}
odyssey	phemius	Phemius the Bard	80	#A88C5A	Ithaca, Singer	Urchin	Sing or Be Killed	Let me tell you a tale...Draw 1.	2	40	40/2	{"drawAfter":1}	Spared at the Altar	Mercy is but a blessing	1	30	30/1	
