deck	type	power	question	option_1	option_2	option_3	option_4	correct_option (1-4)	correct_text (read-only)	act/chapter	pool (starter/booster)
romeojuliet	ATTACK	2	Who is Romeo in love with before he meets Juliet?	Juliet	The Nurse	Lady Capulet	Rosaline	4	Rosaline	Act I	starter
romeojuliet	ATTACK	2	What does Lady Capulet want for her daughter?	Only a rich husband, whatever his manner	Only a handsome husband of any fortune	A marriage inside the family for the wealth	Happiness and a wealthy, good-looking husband	4	Happiness and a wealthy, good-looking husband	Act I	starter
romeojuliet	ATTACK	2	Why does Friar Laurence agree to perform the marriage?	He hopes it will end the family feud	He is paid a great sum of money to do it	Juliet's father has asked him to arrange it	He fears what the Prince will do to him	1	He hopes it will end the family feud	Act II	starter
romeojuliet	ATTACK	2	What is Friar Laurence gathering when Romeo first finds him?	Firewood	Letters	Herbs and flowers	Coins for the poor	3	Herbs and flowers	Act II	booster
romeojuliet	ATTACK	2	What does Mercutio curse as he dies?	Romeo alone, for stepping between them	The Prince who forbade the duelling	Both the Montague and Capulet houses	The walls of Verona that trapped him	3	Both the Montague and Capulet houses	Act III	starter
romeojuliet	ATTACK	2	“There is no world without Verona's walls, but purgatory, torture, hell itself” is an example of:	Understatement	Pun	Hyperbole	Metonymy	3	Hyperbole	Act III	booster
romeojuliet	ATTACK	2	The audience knows Tybalt is dead at the start of Scene ii but Juliet does not. This is:	Verbal irony	Dramatic irony	Situational irony	Foreshadowing	2	Dramatic irony	Act III	booster
romeojuliet	ATTACK	2	How does Romeo wound Tybalt during the duel?	Romeo steps between them and Tybalt strikes under his arm	Tybalt strikes him from behind while Mercutio is watching	Mercutio disarms Tybalt and Romeo takes up the sword	Benvolio holds Tybalt down while Romeo strikes him	1	Romeo steps between them and Tybalt strikes under his arm	Act III	booster
romeojuliet	ATTACK	2	What does Juliet fear about waking in the vault?	Waking alone among the bodies, including Tybalt's	That Friar Laurence will forget to come for her	That Paris will find her before Romeo does	That the potion will not work strongly enough	1	Waking alone among the bodies, including Tybalt's	Act IV	booster
romeojuliet	ATTACK	2	What test does the servant use to find a “cunning cook”?	One who can read a written recipe	One who works very quickly	One who licks his own fingers	One who never tastes the food	3	One who licks his own fingers	Act IV	booster
romeojuliet	ATTACK	2	How does Romeo die?	He stabs himself	Paris kills him	He drinks poison	The Prince executes him	3	He drinks poison	Act V	starter
romeojuliet	ATTACK	2	“Sepulcher” most nearly means:	Monument	Cemetery	Tomb	Chapel	3	Tomb	Act V	starter
romeojuliet	ATTACK	2	What happened to Lady Montague?	She was exiled from Verona by the Prince	She killed Paris to avenge her son	She survives and mourns at the tomb	She died of grief over Romeo's banishment	4	She died of grief over Romeo's banishment	Act V	booster
romeojuliet	ATTACK	2	What do Capulet and Montague promise to do to honour the lovers?	Raise golden statues of each other's child	Rebuild the church where they were married	Leave Verona together and never return	Free every servant in both households	1	Raise golden statues of each other's child	Act V	booster
romeojuliet	ATTACK	3	The prologue says the feud will end with:	The death of the lovers	The Prince's decree	A royal marriage	The exile of both houses	1	The death of the lovers	Prologue	booster
romeojuliet	ATTACK	3	Mercutio's Queen Mab speech mainly argues that dreams are:	Prophecies from heaven	Warnings from the dead	Signs of true love	Meaningless fantasies	4	Meaningless fantasies	Act I	booster
romeojuliet	ATTACK	3	How does the Nurse behave when she brings Juliet news from Romeo?	She refuses to speak of Romeo at all that day	She delays and teases her, building suspense	She tells her the news immediately and plainly	She sends a written note in her place	2	She delays and teases her, building suspense	Act II	starter
romeojuliet	ATTACK	3	“What's in a name? That which we call a rose…” argues that:	A name is separate from what a thing truly is	Names given at birth are sacred and binding	Love between enemies is always impossible	Flowers outlast the people who name them	1	A name is separate from what a thing truly is	Act II	booster
romeojuliet	ATTACK	3	“Being in night, all this is but a dream, too flattering-sweet to be substantial” suggests Juliet feels the night is:	Frightening and unnatural	Shameful to remember	Too good to be real	Endless and unchanging	3	Too good to be real	Act II	booster
romeojuliet	ATTACK	3	Where does Romeo flee after the Prince's sentence?	Mantua	Rome	Padua	Venice	1	Mantua	Act III	starter
romeojuliet	ATTACK	3	What advice does the Nurse give Juliet about Paris?	To run away to Mantua after Romeo	To marry him and forget Romeo	To refuse her father outright	To take a sleeping potion instead	2	To marry him and forget Romeo	Act III	starter
romeojuliet	ATTACK	3	How does the Nurse's advice change Juliet's trust in her?	Juliet obeys her advice at once	Juliet stops confiding in her	Juliet asks her to carry a letter	Juliet forgives her right away	2	Juliet stops confiding in her	Act III	booster
romeojuliet	ATTACK	3	How long will the potion make Juliet appear dead?	12 hours	24 hours	42 hours	3 days	3	42 hours	Act IV	starter
romeojuliet	ATTACK	3	Who finds Juliet apparently dead on the wedding morning?	Lady Capulet	Paris	The Nurse	Friar Laurence	3	The Nurse	Act IV	starter
romeojuliet	ATTACK	3	Whom does Romeo fight and kill at the tomb?	Tybalt	Paris	Balthasar	Friar John	2	Paris	Act V	starter
romeojuliet	ATTACK	3	“Haughty” most nearly means:	Timid	Friendly	Egotistical	Hurried	3	Egotistical	Act V	booster
romeojuliet	ATTACK	4	How does Lord Capulet respond when Tybalt wants to attack Romeo at the feast?	He orders Tybalt to leave Romeo alone	He joins Tybalt in drawing on Romeo	He sends at once for Prince Escalus	He throws Romeo out of the feast	1	He orders Tybalt to leave Romeo alone	Act I	starter
romeojuliet	ATTACK	4	Why are the musicians still on stage at the end of Act IV?	They were hired as mourners for her	They carry a message from the Friar	They lighten the mood after the grief	They are servants of the Capulet house	3	They lighten the mood after the grief	Act IV	booster
romeojuliet	ATTACK	4	Why does Paris go to Juliet's tomb?	To strew flowers and mourn her	To meet Romeo at the churchyard	To rob the Capulet family vault	To speak with Friar Laurence there	1	To strew flowers and mourn her	Act V	starter
romeojuliet	ATTACK	4	What happened to Friar Laurence's letter to Romeo?	Romeo refused to read it and sent it back sealed	Balthasar lost it on the road between the cities	Friar John was quarantined and could not deliver it	Paris intercepted it and burned it at the tomb	3	Friar John was quarantined and could not deliver it	Act V	starter
romeojuliet	ATTACK	4	“See what a scourge is laid upon your hate, that heaven finds means to kill your joys with love” means:	Heaven has forgiven them both for the years of feuding	Their hatred destroyed the children they loved	Love will always defeat an old hatred in the end	The Prince intends to punish them further for it	2	Their hatred destroyed the children they loved	Act V	booster
romeojuliet	ATTACK	4	Which trait of the lovers most contributes to the tragedy?	Their dishonesty with their own families	Their cowardice in facing the old feud	Their greed for the other house's wealth	Their haste in acting on strong feeling	4	Their haste in acting on strong feeling	Act V	booster
romeojuliet	BLOCK	1	The prologue is written in the form of a:	Sonnet	Song	Epic	Ballad	1	Sonnet	Prologue	starter
romeojuliet	BLOCK	1	What are the names of the two feuding families?	Shakespeares and Montagues	Montagues and Capulets	Capulets and Benvolios	Tybalts and Mercutios	2	Montagues and Capulets	Act I	starter
romeojuliet	BLOCK	1	How old is Juliet?	12	14	13	15	3	13	Act I	starter
romeojuliet	BLOCK	1	Who wants to attack Romeo at the Capulet party?	Mercutio	Tybalt	The Nurse	Sampson	2	Tybalt	Act I	starter
romeojuliet	BLOCK	1	How does Tybalt first recognise Romeo at the feast?	By his mask	By his clothing	By his voice	By his sword	3	By his voice	Act I	booster
romeojuliet	BLOCK	1	Romeo and Juliet's first conversation is shaped as a shared:	Sonnet	Soliloquy	Aside	Ballad	1	Sonnet	Act I	booster
romeojuliet	BLOCK	1	Where does Juliet stand during the famous balcony scene?	In the orchard	On the city wall	At her window	At the Friar's cell	3	At her window	Act II	starter
romeojuliet	BLOCK	1	Who carries messages between Romeo and Juliet?	Benvolio	Balthasar	The Nurse	Friar John	3	The Nurse	Act II	starter
romeojuliet	BLOCK	1	What does Tybalt send to the Montague house in Act II?	A written challenge to Romeo	An invitation to the Capulet wedding	A written apology for the brawl	A gift of money for the servants	1	A written challenge to Romeo	Act II	booster
romeojuliet	BLOCK	1	“Parting is such sweet sorrow” is an example of:	Simile	Allusion	Onomatopoeia	Oxymoron	4	Oxymoron	Act II	booster
romeojuliet	BLOCK	1	“O, speak again, bright angel!… As is a winged messenger of heaven” is a:	Metaphor	Paradox	Apostrophe	Simile	4	Simile	Act II	booster
romeojuliet	BLOCK	1	“Love goes toward love as schoolboys from their books” is an example of:	Metaphor	Oxymoron	Simile	Allusion	3	Simile	Act II	booster
romeojuliet	BLOCK	1	Who tells Juliet about Romeo's punishment?	Friar Laurence	Lady Capulet	The Nurse	Benvolio	3	The Nurse	Act III	starter
romeojuliet	BLOCK	1	Whom does Romeo kill in revenge for Mercutio?	Tybalt	Paris	Sampson	Balthasar	1	Tybalt	Act III	starter
romeojuliet	BLOCK	1	Who speaks the line “Methinks I see thee… as one dead in the bottom of a tomb”?	Romeo	Juliet	The Nurse	Lady Capulet	2	Juliet	Act III	booster
romeojuliet	BLOCK	1	What does Friar Laurence give Juliet?	A vial of poison	A sleeping potion	A sealed letter	A hidden dagger	2	A sleeping potion	Act IV	starter
romeojuliet	BLOCK	1	How does Juliet convince her parents she has changed her mind?	She writes them a letter of apology	She pretends to agree to marry Paris	She asks the Nurse to speak for her	She threatens to leave Verona alone	2	She pretends to agree to marry Paris	Act IV	booster
romeojuliet	BLOCK	1	Who tells Romeo that Juliet is dead?	Friar John	Balthasar	Benvolio	The Nurse	2	Balthasar	Act V	starter
romeojuliet	BLOCK	1	“Remnants” most nearly means:	Cloths	Remains	Factors	Debts	2	Remains	Act V	booster
romeojuliet	BLOCK	1	“Scourge” most nearly means:	A deep and lasting sorrow	A long-standing hatred	A whip or severe punishment	A blessing given freely	3	A whip or severe punishment	Act V	booster
romeojuliet	BLOCK	2	The prologue calls Romeo and Juliet:	Ill-fated cousins	Doomed rivals	Star-crossed lovers	Fortune's children	3	Star-crossed lovers	Prologue	starter
romeojuliet	BLOCK	2	What punishment does Prince Escalus threaten for anyone who starts a street fight?	Exile	A heavy fine	Imprisonment	Death	4	Death	Act I	starter
romeojuliet	BLOCK	2	Why does Romeo go to the Capulet feast?	To see Juliet	To see Rosaline	To fight Tybalt	To speak with Lord Capulet	2	To see Rosaline	Act I	starter
romeojuliet	BLOCK	2	Which family does Benvolio belong to?	The Montagues	The Capulets	Neither house	The Prince's household	1	The Montagues	Act I	starter
romeojuliet	BLOCK	2	“Wherefore art thou Romeo?” — Juliet is asking:	Where he is hiding in the orchard	Why must he be a Montague	When he means to return to her	Whether he truly loves her at all	2	Why must he be a Montague	Act II	starter
romeojuliet	BLOCK	2	Who speaks the line “Ask for me tomorrow, and you shall find me a grave man”?	Mercutio	Romeo	Tybalt	Benvolio	1	Mercutio	Act III	starter
romeojuliet	BLOCK	2	“Ask for me tomorrow, and you shall find me a grave man” is an example of:	Simile	Pun	Personification	Allusion	2	Pun	Act III	booster
romeojuliet	BLOCK	2	“Methinks I see thee, now thou art below, as one dead in the bottom of a tomb” is an example of:	Pun	Oxymoron	Foreshadowing	Dramatic irony	3	Foreshadowing	Act III	booster
romeojuliet	BLOCK	2	In Act III, what do we know that Juliet's parents do not?	That Tybalt is alive and hiding in Mantua	That Paris is secretly a Montague kinsman	That the Friar has arranged a second plan	That Juliet is already married to Romeo	4	That Juliet is already married to Romeo	Act III	booster
romeojuliet	BLOCK	2	To whom does Juliet turn for help after her parents and the Nurse fail her?	Benvolio	Friar Laurence	Balthasar	Lady Montague	2	Friar Laurence	Act IV	starter
romeojuliet	BLOCK	2	How does Lord Capulet change the wedding plans in Scene iv?	He moves the wedding a day earlier	He postpones it by a full week and a day	He cancels it altogether for now	He moves the wedding to Mantua	1	He moves the wedding a day earlier	Act IV	booster
romeojuliet	BLOCK	2	How does Paris react to the news of Juliet's death?	With relief that the match has been broken	With formal grief for a bride he barely knew	With anger at the Capulets for hiding it	By accusing Romeo of having poisoned her	2	With formal grief for a bride he barely knew	Act IV	booster
romeojuliet	BLOCK	2	How does Juliet die?	She stabs herself with Romeo's dagger	She drinks what is left of the poison	She dies of grief beside him	Friar Laurence poisons her	1	She stabs herself with Romeo's dagger	Act V	starter
romeojuliet	BLOCK	2	“Then I defy you, stars!” shows that Romeo:	Has accepted the destiny that was written for him	Refuses to accept the fate laid out for him	Blames Juliet for the promise she made	Trusts that the Friar's plan will still hold	2	Refuses to accept the fate laid out for him	Act V	booster
romeojuliet	BLOCK	2	How does Friar Laurence try to protect Juliet in the tomb?	He hides her body from the watchmen	He fights Paris at the tomb entrance	He gives her a second sleeping potion	He urges her to flee and join a convent	4	He urges her to flee and join a convent	Act V	booster
romeojuliet	BLOCK	2	Why does Romeo bring Balthasar to the tomb and then send him away?	He fears an ambush at the churchyard	Balthasar is carrying the poison for him	Friar Laurence ordered him to do so	He wants a witness but no interference	4	He wants a witness but no interference	Act V	booster
romeojuliet	BLOCK	3	“My only love sprung from my only hate” is an example of:	Hyperbole	Allusion	Understatement	Paradox	4	Paradox	Act I	booster
romeojuliet	BLOCK	3	The rhythm Shakespeare writes his verse in is called:	Unrhymed free verse	Iambic pentameter	Blank rhyming couplet	Trochaic meter	2	Iambic pentameter	Act I	booster
romeojuliet	BLOCK	3	Where are Romeo and Juliet married?	At Friar Laurence's cell	In the Capulet orchard	At the church altar	In the city square	1	At Friar Laurence's cell	Act II	starter
romeojuliet	BLOCK	3	Friar Laurence warns Romeo that:	Juliet does not truly love him yet, whatever she says	Those who rush stumble — love moderately	The Prince will find out the secret and punish them	Rosaline will return to claim him before the wedding	2	Those who rush stumble — love moderately	Act II	booster
romeojuliet	BLOCK	3	How does Lord Capulet react when Juliet refuses to marry Paris?	He agrees to wait	He asks the Friar's advice	He threatens to disown her	He postpones the wedding	3	He threatens to disown her	Act III	starter
romeojuliet	BLOCK	3	Why is Romeo reluctant to fight Tybalt at first?	He has no sword and no second to call on	Benvolio forbids him to draw in the street	The Prince is watching from the square	Tybalt is now his kinsman by marriage	4	Tybalt is now his kinsman by marriage	Act III	starter
romeojuliet	BLOCK	3	“O, I am fortune's fool” reveals that Romeo believes:	He has outwitted his enemies	He deserves his punishment	He is being played with by fate	Mercutio betrayed him	3	He is being played with by fate	Act III	booster
romeojuliet	BLOCK	3	Where is Juliet to be taken after she appears to die?	Friar Laurence's cell at the abbey	Mantua, where Romeo waits	The garden behind the church	The Capulet family vault	4	The Capulet family vault	Act IV	starter
romeojuliet	BLOCK	3	Why is Friar Laurence reluctant to marry Paris and Juliet?	He knows she is already married to Romeo	He dislikes Count Paris and his family name	Lord Capulet has not yet paid him for it	The Prince has forbidden the match outright	1	He knows she is already married to Romeo	Act IV	starter
romeojuliet	BLOCK	3	“Ambiguities” most nearly means:	Uncertainties	Small courtesies	Careful details	Long arguments	1	Uncertainties	Act V	booster
romeojuliet	BLOCK	4	What insulting gesture starts the fight in Scene i?	Drawing a sword	Biting his thumb	Spitting on the ground	Throwing a glove	2	Biting his thumb	Act I	starter
romeojuliet	BLOCK	4	What is one clear risk in Friar Laurence's plan?	The message to Romeo might not arrive	Juliet might refuse to drink the potion	Tybalt's family might open the vault	Paris might tell the Prince of the plan	1	The message to Romeo might not arrive	Act IV	booster
romeojuliet	BLOCK	4	How does the feud between the families end?	The Prince banishes both households from Verona forever after	The Capulets leave Verona and forfeit their estate to the church	A marriage to Count Paris finally unites the two families	Capulet and Montague make peace over their children's bodies	4	Capulet and Montague make peace over their children's bodies	Act V	starter
romeojuliet	BLOCK	4	Whose actions most clearly show fate rather than choice?	The plague that stops Friar John's letter	Romeo's purchase of the poison in Mantua	Juliet's refusal to marry Count Paris on Thursday	Tybalt's written challenge to Romeo	1	The plague that stops Friar John's letter	Act V	booster
odyssey	ATTACK	1	In the film, to what city do Odysseus and his men sail to fight?	Sparta	Troy	Ithaca	Mycenae	2	Troy	Troy & Departure	starter
odyssey	ATTACK	1	Who is called the defender of Troy and its greatest warrior?	Hector	Paris	Achilles	Aeneas	1	Hector	Troy & Departure	starter
odyssey	ATTACK	1	Which goddess protects and guides Odysseus throughout?	Hera	Athena	Artemis	Demeter	2	Athena	Troy & Departure	booster
odyssey	ATTACK	1	What name does Odysseus give the Cyclops when asked?	Nobody	Nemo	Stranger	Wanderer	1	Nobody	The Cyclops	starter
odyssey	ATTACK	1	What mistake does Odysseus make as he sails away from the Cyclops?	He leaves a man behind	He shouts out his real name	He takes the giant's flocks	He refuses to sacrifice	2	He shouts out his real name	The Cyclops	booster
odyssey	ATTACK	1	What does the god of the winds give Odysseus to speed him home?	A silver compass	A charmed sail	A bag of winds	A map of the sea	3	A bag of winds	Aeolus & Circe	starter
odyssey	ATTACK	1	What protects Odysseus from Circe’s magic?	A herb given to him by a god	A shield forged by Hephaestus	A charm woven by Penelope	A vow sworn to Athena	1	A herb given to him by a god	Aeolus & Circe	booster
odyssey	ATTACK	1	What does Circe tell Odysseus he must do before he can sail home?	Return the bag of winds unopened	Travel to the land of the dead	Sacrifice one of his own crew	Fight the blinded Cyclops again	2	Travel to the land of the dead	Aeolus & Circe	booster
odyssey	ATTACK	1	Where must Odysseus travel to learn how to get home?	The court of Poseidon	The land of the dead	The peak of Olympus	The forge of Hephaestus	2	The land of the dead	The Underworld	starter
odyssey	ATTACK	1	In the film, Tiresias tells Odysseus that what makes up his life?	The war he won	The son he left	The gods he serves	The journey itself	4	The journey itself	The Underworld	booster
odyssey	ATTACK	1	What must Odysseus offer to speak with the dead?	A gold coin	A poured libation of wine only	A lock of his hair	A blood sacrifice	4	A blood sacrifice	The Underworld	booster
odyssey	ATTACK	1	What is Scylla?	A whirlpool that swallows the strait	A many-headed monster on the cliff	A sea nymph who sings to sailors	A giant who guards the northern shore	2	A many-headed monster on the cliff	Sea Perils	starter
odyssey	ATTACK	1	What finally frees Odysseus from Calypso's island?	The gods order her to release him	He builds a ship in secret	He wins a long contest against her	Poseidon relents at last	1	The gods order her to release him	Sea Perils	booster
odyssey	ATTACK	1	Why have the noblemen come to Odysseus's house?	To crown Telemachus	To mourn Odysseus	To divide the kingdom	To marry Penelope	4	To marry Penelope	Ithaca	starter
odyssey	ATTACK	1	How does Penelope keep the weaving from ever being finished?	She weaves only on the feast days	She hides the loom from her maids	She uses a thread that will not hold	She unravels it again each night	4	She unravels it again each night	Ithaca	starter
odyssey	ATTACK	1	“Plundered” most nearly means:	Sailed past quickly	Buried in secret	Took goods by force	Bargained shrewdly	3	Took goods by force	Vocabulary I	starter
odyssey	ATTACK	1	“Assuage” most nearly means:	To scold	To calm	To gather	To wander	2	To calm	Vocabulary I	starter
odyssey	ATTACK	1	“Dissemble” most nearly means:	To take a thing apart piece by piece	To hide behind a false appearance	To speak very plainly and openly	To gather a crowd around oneself	2	To hide behind a false appearance	Vocabulary I	booster
odyssey	ATTACK	1	“Ambrosia” most nearly means:	A rich perfumed oil	A sacred song of praise	A finely woven cloth	The food of the gods	4	The food of the gods	Vocabulary II	starter
odyssey	ATTACK	1	“Overweening” most nearly means:	Weary and defeated	Careful and modest	Anxious and deeply uncertain	Arrogant and overly proud	4	Arrogant and overly proud	Vocabulary II	booster
odyssey	ATTACK	1	Which quality does the Odyssey most consistently reward in its hero?	Raw physical strength	Noble birth	Unquestioning obedience	Cunning intelligence	4	Cunning intelligence	Epic Conventions	booster
odyssey	ATTACK	1	How long is Odysseus away from Ithaca in total?	Twenty years	Ten years	Fifteen years	Seven years	1	Twenty years	Epic Conventions	booster
odyssey	ATTACK	2	In the film, what do the Greeks build to get inside the city gates?	A siege tower on wheels	A hollow wooden horse	A tunnel beneath the wall	A raft bridge of ships	2	A hollow wooden horse	Troy & Departure	starter
odyssey	ATTACK	2	Why does Odysseus give the Cyclops a false name?	So the giant will let him go unharmed	So the rest of the crew can stay hidden	So the gods will not overhear his plan	So the giant cannot name his attacker	4	So the giant cannot name his attacker	The Cyclops	starter
odyssey	ATTACK	2	How do the men get past the Cyclops at the cave mouth?	They dig under the great stone	They cling beneath his sheep	They disguise themselves in skins	They slip out during a feast	2	They cling beneath his sheep	The Cyclops	booster
odyssey	ATTACK	2	In the film, what happens to the bag of winds before they reach home?	It is stolen from the ship by Circe	It is lost overboard in a sudden storm	Odysseus trades it away for supplies	The crew opens it, suspecting treasure	4	The crew opens it, suspecting treasure	Aeolus & Circe	starter
odyssey	ATTACK	2	Which blind prophet gives Odysseus his instructions in the underworld?	Tiresias	Calchas	Nestor	Laertes	1	Tiresias	The Underworld	starter
odyssey	ATTACK	2	Who is Calypso?	A witch who transforms his crew into beasts	A goddess who keeps Odysseus on her island	The queen who rules over the underworld	A serving woman in Penelope's great hall	2	A goddess who keeps Odysseus on her island	Sea Perils	starter
odyssey	ATTACK	2	What happens after the crew eats the sun god’s cattle?	Their ship is destroyed at sea	They are turned into stone	They are struck blind for a year	They are becalmed for a month	1	Their ship is destroyed at sea	Sea Perils	booster
odyssey	ATTACK	2	In the film, what does Odysseus say the suitors' true crime was?	Insulting the household gods of Ithaca	Trying to steal the world he built	Refusing to pay for the feasts they ate	Betraying him during the war at Troy	2	Trying to steal the world he built	Ithaca	booster
odyssey	ATTACK	2	“Equity” most nearly means:	Wealth and property	Balance and poise	Silence and calm	Fairness and justice	4	Fairness and justice	Vocabulary I	booster
odyssey	ATTACK	2	“Incredulity” most nearly means:	Extreme carelessness with money	Bitter resentment	Unwillingness to believe	Sudden joy	3	Unwillingness to believe	Vocabulary I	booster
odyssey	ATTACK	2	“Gale” most nearly means:	A strong wind	A thick and blinding fog	A high tide	A deep calm	1	A strong wind	Vocabulary II	starter
odyssey	ATTACK	2	“Hallowed” most nearly means:	Empty within	Long ago abandoned	Honoured as holy	Newly built	3	Honoured as holy	Vocabulary II	starter
odyssey	ATTACK	2	“Suppliant” most nearly means:	One who supplies food to an army	One who humbly begs the powerful	One who rules in another's place	One who carries word between kings	2	One who humbly begs the powerful	Vocabulary II	booster
odyssey	ATTACK	2	“Scud” most nearly means:	To scrape hard against a rock	To move fast in a straight line	To drift along without direction	To sink slowly beneath the waves	2	To move fast in a straight line	Vocabulary II	booster
odyssey	ATTACK	2	An “epic hero” is best described as:	A larger-than-life figure on a great quest	A soldier of unusually high birth and rank	A poet who recites the long tales of war	A ruler chosen and crowned by the gods	1	A larger-than-life figure on a great quest	Epic Conventions	starter
odyssey	ATTACK	2	Repeated phrases such as “grey-eyed Athena” are called:	Epithets	Refrains	Allusions	Idioms	1	Epithets	Epic Conventions	booster
odyssey	ATTACK	3	The underworld visit interrupts the voyage to deliver what?	A new ship and a fresh crew of men	Knowledge of the cost of going home	A weapon forged for him by the gods	A pardon from Poseidon at last	2	Knowledge of the cost of going home	The Underworld	booster
odyssey	ATTACK	3	How does Odysseus hear the Sirens and survive?	He plugs his own ears	He sails past at night	He is tied to the mast	He sinks their island rock	3	He is tied to the mast	Sea Perils	starter
odyssey	ATTACK	3	How does Athena disguise Odysseus when he lands on Ithaca?	As an old beggar	As a merchant sailor	As a young herald	As a wandering priest	1	As an old beggar	Ithaca	starter
odyssey	ATTACK	3	What contest does Penelope set for the suitors?	Shooting an arrow through a line of axes	Wrestling the strongest man among the suitors	Reciting all the deeds of Odysseus	Sailing a boat right around the island	1	Shooting an arrow through a line of axes	Ithaca	starter
odyssey	ATTACK	3	Why does Odysseus reveal himself to Telemachus before the others?	He fears the boy will leave	He wants the boy to warn Penelope	He needs an ally inside the hall	He must prove he is the king	3	He needs an ally inside the hall	Ithaca	booster
odyssey	ATTACK	3	Penelope tests Odysseus by ordering what to be moved?	The great loom from her upper chamber	Their bed, which he built and cannot be moved	The great bow of Odysseus from the hall wall	The heavy gate of the inner courtyard	2	Their bed, which he built and cannot be moved	Ithaca	booster
odyssey	ATTACK	3	What does the reunion at Ithaca suggest the epic values most?	Loyalty tested over long time	Victory won in open battle	Wealth taken by plunder	Favour bought cheaply from the gods	1	Loyalty tested over long time	Ithaca	booster
